repo,stargazers,watchers,forks,topics,issues,commits,unique labels,content files
geopandas/scipy2018-geospatial-data,316,316,188,[],9,45,[],"['.gitignore', '01-introduction-geospatial-data.ipynb', '02-spatial-relationships-operations.ipynb', '03-spatial-joins.ipynb', '04-more-on-visualization.ipynb', '05-mapclassification.ipynb', '06-exploratory-spatial-data-analysis.ipynb', '07-data-borrowing.ipynb', '08-clustering.ipynb', 'LICENSE', 'README.md', '_solved', 'case-conflict-mapping.ipynb', 'case-gini-in-a-bottle-the-trump-vote.ipynb', 'check_environment.py', 'data', 'environment.yml', 'img']"
pandas-dev/pandas,36138,36138,15462,"['data-analysis', 'pandas', 'flexible', 'alignment', 'python', 'data-science']",3682,30838,"['32bit', 'Admin', 'Algos', 'API - Consistency', 'API Design', 'Apply', 'ARM', 'ArrayManager', 'Arrow', 'Astype', 'Benchmark', 'Blocked', 'Blocker', 'Blocker for rc', 'Bug', 'Build', 'Categorical', 'CI', 'Clean', 'Closing Candidate', 'Code Style', 'Community', 'Compat', 'Complex', 'Constructors', 'Copy / view semantics', 'cut', 'DataFrame', 'datetime.date', 'Dependencies', 'Deprecate', 'Docs', 'Dtype Conversions', 'Duplicate Report', 'duplicated', 'Enhancement', 'Error Reporting', 'expressions', 'ExtensionArray', 'Frequency', 'Groupby', 'hacktoberfest-accepted', 'hashing', 'Ideas', 'Index', 'Indexing', 'inplace', 'Interchange', 'Internals', 'Interval', 'Invalid', 'IO CSV', 'IO Data', 'IO Excel', 'IO Fixed Width', 'IO Google', 'IO HDF5', 'IO HTML', 'IO JSON', 'IO LaTeX', 'IO Network', 'IO Parquet', 'IO Pickle', 'IO SAS', 'IO SQL', 'IO Stata', 'IO XML', 'isin', 'Linux', 'Localization', 'Master Tracker', 'metadata', 'Missing-data', 'Mothballed', 'Multi-Block', 'MultiIndex', 'Multithreading', 'NA - MaskedArrays', 'Needs Discussion', 'Needs Info', 'Needs Review', 'Needs Tests', 'Needs Triage', 'Nested Data', 'Non-Nano', 'Nuisance Columns', 'numba', 'Numeric Operations', 'OS X', 'Output-Formatting', 'PDEP', 'Performance', 'Period', 'PyPy', 'Python 3.10', 'Python 3.11', 'Python 3.8', 'Python 3.9', 'quantile', 'Reduction Operations', 'Refactor', 'Regression', 'Release', 'rename', 'replace', 'Resample', 'Reshaping', 'Roadmap', 'Segfault', 'Series', 'setitem-with-expansion', 'setops', 'Sparse', 'Sprints', 'Stale', 'Still Needs Manual Backport', 'Strings', 'Styler', 'Subclassing', 'Testing', 'Timedelta', 'Timeseries', 'Timestamp', 'Timezones', 'Typing', 'ufuncs', 'Unicode', 'Unreliable Test', 'Upstream issue', 'Usage Question', 'Visualization', 'Warnings', 'Web', 'Window', 'Windows']","['.circleci', '.devcontainer.json', '.gitattributes', '.github', '.gitignore', '.gitpod.yml', '.libcst.codemod.yaml', '.pep8speaks.yml', '.pre-commit-config.yaml', 'AUTHORS.md', 'CITATION.cff', 'Dockerfile', 'LICENSE', 'LICENSES', 'MANIFEST.in', 'README.md', 'RELEASE.md', 'asv_bench', 'ci', 'codecov.yml', 'doc', 'environment.yml', 'gitpod', 'pandas', 'pyproject.toml', 'pyright_reportGeneralTypeIssues.json', 'requirements-dev.txt', 'scripts', 'setup.cfg', 'setup.py', 'typings', 'web']"
scikit-learn/scikit-learn,52229,52229,23748,"['machine-learning', 'python', 'statistics', 'data-science', 'data-analysis']",2132,29338,"['API', 'arch:arm', 'Blocker', 'Breaking Change', 'Bug', 'Bug: triage', 'Build / CI', 'C/C++', 'cython', 'dependencies', 'Documentation', 'Easy', 'Enhancement', 'float32', 'frontend', 'hacktoberfest', 'hacktoberfest-accepted', 'Hard', 'High Priority', 'Large Scale', 'Long Term', 'Low Priority', 'Meta-issue', 'Moderate', 'module:base', 'module:calibration', 'module:cluster', 'module:common', 'module:compose', 'module:covariance', 'module:cross_decomposition', 'module:datasets', 'module:decomposition', 'module:discriminant_analysis', 'module:ensemble', 'module:feature_extraction', 'module:feature_selection', 'module:gaussian_process', 'module:impute', 'module:inspection', 'module:isotonic', 'module:kernel_approximation', 'module:linear_model', 'module:manifold', 'module:metrics', 'module:mixture', 'module:model_selection', 'module:multiclass', 'module:multioutput', 'module:naive_bayes', 'module:neighbors', 'module:neural_network', 'module:pipeline', 'module:preprocessing', 'module:random_projection', 'module:semi_supervised', 'module:svm', 'module:test-suite', 'module:tree', 'module:utils', 'Move to scikit-learn-extra', 'Needs Benchmarks', 'Needs Decision', 'Needs Decision - API', 'Needs Decision - Backward Compatibility', 'Needs Decision - Close', 'Needs Decision - Include Feature', 'Needs Info', 'Needs Investigation', 'Needs Reproducible Code', 'Needs Triage', 'Needs work', 'New Feature', 'No Changelog Needed', 'Packaging', 'Pandas compatibility', 'Performance', 'pypy', 'Question', 'Quick Review', 'Refactor', 'Regression', 'RFC', 'segfault', 'spam', 'Sprint', 'Stalled', 'Superseded', 'To backport', 'upstream bug', 'Validation', 'Waiting for Reviewer', 'Waiting for Second Reviewer', 'workflow']","['.binder', '.circleci', '.codecov.yml', '.coveragerc', '.git-blame-ignore-revs', '.github', '.gitignore', '.mailmap', '.pre-commit-config.yaml', '.travis.yml', 'CODE_OF_CONDUCT.md', 'CONTRIBUTING.md', 'COPYING', 'MANIFEST.in', 'Makefile', 'README.rst', 'SECURITY.md', 'asv_benchmarks', 'azure-pipelines.yml', 'benchmarks', 'build_tools', 'conftest.py', 'doc', 'examples', 'maint_tools', 'pyproject.toml', 'setup.cfg', 'setup.py', 'sklearn']"
matplotlib/matplotlib,16499,16499,6619,"['matplotlib', 'data-visualization', 'data-science', 'python', 'qt', 'wx', 'gtk', 'plotting', 'tk', 'hacktoberfest']",1911,45062,"['accessibility', 'API: argument checking', 'API: changes', 'API: consistency', 'API: default changes', 'backend: agg', 'backend: cairo', 'backend: inline', 'backend: ipympl', 'backend: pdf', 'backend: pgf', 'backend: ps', 'backend: svg', 'Build', 'Community support', 'Difficulty: Easy', 'Difficulty: Hard', 'Difficulty: Medium', 'Documentation', 'Documentation: build', 'Documentation: overhaul', 'Documentation: website', 'Good first issue', 'governance', 'GUI: gtk', 'GUI: MacOSX', 'GUI: nbagg', 'GUI: Qt', 'GUI: tk', 'GUI: webagg', 'GUI: wx', 'hacktoberfest-accepted', 'Maintenance', 'mentored: hackathon', 'mentored: sprint', 'mentored: student project', 'MEP: MEP needed', 'MEP: MEP12', 'MEP: MEP13', 'MEP: MEP14', 'MEP: MEP15', 'MEP: MEP22', 'MEP: MEP25', 'MEP: MEP26', 'MEP: MEP27', 'New feature', 'OS: Apple', 'OS: Microsoft', 'OS: Microsoft/WSL', 'Performance', 'PR: bugfix', 'PR: dependencies', 'Release critical', 'Run cibuildwheel', 'status: confirmed bug', 'status: downstream fix required', 'status: duplicate', 'status: has patch', 'status: invalid', 'status: merge with single review?', 'status: needs clarification', 'status: needs comment/discussion', 'status: needs confirmation', 'status: needs documentation', 'status: needs manual backport', 'status: needs merge', 'status: needs patch', 'status: needs rebase', 'status: needs review', 'status: needs revision', 'status: needs tests', 'status: needs workflow approval', 'status: orphaned PR', 'status: stale', 'status: upstream fix required', 'status: waiting for other PR', ""status: won't or can't fix"", 'status: work in progress', 'Still Needs Manual Backport', 'third-party integration', 'third-party integration: jupyter', 'third-party integration: pandas', 'topic: animation', 'topic: annotation', 'topic: arrow', 'topic: axes', 'topic: canvas and figure manager', 'topic: categorical', 'topic: collections and mappables', 'topic: color/alpha', 'topic: color/color & colormaps', 'topic: color/colorbar', 'topic: color/cycle', 'topic: contour', 'topic: date handling', 'topic: dpi and resolution', 'topic: figures and subfigures', 'topic: geometry manager', 'topic: hatch', 'topic: hist', 'topic: images', 'topic: legend', 'topic: markers', 'topic: mpl_toolkit', 'topic: mplot3d', 'topic: path handling', 'topic: pcolor/pcolormesh', 'topic: plotting methods', 'topic: polar', 'topic: pyplot API', 'topic: rcparams', 'topic: sankey', 'topic: sphinx extension', 'topic: stem', 'topic: styles', 'topic: table', 'topic: testing', 'topic: text', 'topic: text/fonts', 'topic: text/mathtext', 'topic: text/unicode', 'topic: text/usetex', 'topic: ticks axis labels', 'topic: toolbar', 'topic: transforms and scales', 'topic: tri', 'topic: types', 'topic: units and array ducktypes', 'topic: widgets/UI']","['.appveyor.yml', '.circleci', '.coveragerc', '.flake8', '.git-blame-ignore-revs', '.git_archival.txt', '.gitattributes', '.github', '.gitignore', '.lgtm.yml', '.mailmap', '.matplotlib-repo', '.meeseeksdev.yml', '.pre-commit-config.yaml', 'CITATION.bib', 'CODE_OF_CONDUCT.md', 'INSTALL.rst', 'LICENSE', 'README.md', 'SECURITY.md', 'azure-pipelines.yml', 'ci', 'doc', 'environment.yml', 'examples', 'extern', 'lib', 'mplsetup.cfg.template', 'plot_types', 'pyproject.toml', 'pytest.ini', 'requirements', 'setup.cfg', 'setup.py', 'setupext.py', 'src', 'tests.py', 'tools', 'tox.ini', 'tutorials']"
kubernetes-client/python,5322,5322,2911,"['kubernetes', 'client-python', 'k8s', 'library', 'k8s-sig-api-machinery']",106,1581,"['¯\\_(ツ)_/¯', 'api-review', 'approved', 'area/community-meeting', 'area/dependency', 'area/provider/aws', 'area/provider/azure', 'area/provider/digitalocean', 'area/provider/gcp', 'area/provider/ibmcloud', 'area/provider/openstack', 'area/provider/vmware', 'cherry-pick-approved', 'cla-no', 'cncf-cla: no', 'cncf-cla: yes', 'committee/code-of-conduct', 'committee/security-response', 'committee/steering', 'dependencies', 'do-not-merge', 'do-not-merge/blocked-paths', 'do-not-merge/cherry-pick-not-approved', 'do-not-merge/hold', 'do-not-merge/invalid-commit-message', 'do-not-merge/invalid-owners-file', 'do-not-merge/release-note-label-needed', 'do-not-merge/work-in-progress', 'documentation_only', 'feature-request', 'generated-client-updated', 'github_actions', 'help-needed', 'interface-changed', 'kind/api-change', 'kind/bug', 'kind/cleanup', 'kind/deprecation', 'kind/design', 'kind/documentation', 'kind/failing-test', 'kind/feature', 'kind/flake', 'kind/regression', 'kind/support', 'lgtm', 'lifecycle/active', 'lifecycle/frozen', 'lifecycle/rotten', 'lifecycle/stale', 'need-more-information', 'need-rebase', 'needs-kind', 'needs-ok-to-test', 'needs-rebase', 'needs-sig', 'needs-triage', 'no-review-required', 'ok-to-test', 'priority/awaiting-more-evidence', 'priority/backlog', 'priority/critical-urgent', 'priority/important-longterm', 'priority/important-soon', 'release-note', 'release-note-action-required', 'release-note-none', 'sig/api-machinery', 'sig/apps', 'sig/architecture', 'sig/auth', 'sig/autoscaling', 'sig/cli', 'sig/cloud-provider', 'sig/cluster-lifecycle', 'sig/contributor-experience', 'sig/docs', 'sig/instrumentation', 'sig/k8s-infra', 'sig/multicluster', 'sig/network', 'sig/node', 'sig/release', 'sig/scalability', 'sig/scheduling', 'sig/security', 'sig/service-catalog', 'sig/storage', 'sig/testing', 'sig/ui', 'sig/usability', 'sig/windows', 'size/L', 'size/M', 'size/S', 'size/XL', 'size/XS', 'size/XXL', 'tide/merge-blocker', 'tide/merge-method-merge', 'tide/merge-method-rebase', 'tide/merge-method-squash', 'triage/accepted', 'triage/duplicate', 'triage/needs-information', 'triage/not-reproducible', 'triage/unresolved', 'ug/big-data', 'ug/vmware', 'wg/api-expression', 'wg/batch', 'wg/cluster-api', 'wg/component-standard', 'wg/data-protection', 'wg/iot-edge', 'wg/lts', 'wg/machine-learning', 'wg/multitenancy', 'wg/naming', 'wg/policy', 'wg/reliability', 'wg/security-audit', 'wg/structured-logging']","['.github', '.gitignore', 'CHANGELOG.md', 'CONTRIBUTING.md', 'LICENSE', 'MANIFEST.in', 'OWNERS', 'README.md', 'SECURITY_CONTACTS', 'code-of-conduct.md', 'codecov.yml', 'devel', 'doc', 'examples', 'kubernetes', 'requirements.txt', 'scripts', 'setup.cfg', 'setup.py', 'test-requirements.txt', 'tox.ini']"
opencv/opencv,65181,65181,53151,"['opencv', 'c-plus-plus', 'computer-vision', 'deep-learning', 'image-processing']",2381,32467,"['affected: 2.4', 'affected: 3.4', 'auto-transferred', 'backport is needed', 'category: 3d module', 'category: 3rdparty', 'category: apps', 'category: build/install', 'category: calib3d', 'category: contrib', 'category: core', 'category: dnn', 'category: dnn (onnx)', 'category: documentation', 'category: features2d', 'category: flann', 'category: g-api / gapi', 'category: gpu/cuda (contrib)', 'category: highgui-gui', 'category: imgcodecs', 'category: imgproc', 'category: infrastructure', 'category: java bindings', 'category: javascript (js)', 'category: legacy', 'category: matlab bindings', 'category: ml', 'category: nonfree', 'category: objdetect', 'category: ocl', 'category: photo', 'category: python bindings', 'category: samples', 'category: shape', 'category: stitching', 'category: superres', 'category: swift/objc bindings', 'category: t-api', 'category: tracking', 'category: video', 'category: videoio', 'category: videoio(camera)', 'category: videostab', 'category: viz', 'category: vulnerability', 'category:dnn_timvx', 'CI/CD: GitHub Actions (GHA)', 'cleanup', 'community help requested', 'confirmed', 'effort: ∞', 'effort: few days', 'effort: few hours', 'effort: few weeks', 'evolution', 'feature', 'future', 'GSoC', 'Hackathon', 'incomplete', 'need-ci-update', 'needs investigation', 'needs reproducer', 'optimization', 'platform: android', 'platform: arm', 'platform: ios/osx', 'platform: linux', 'platform: loongson', 'platform: other', 'platform: ppc (PowerPC)', 'platform: riscv', 'platform: win32', 'platform: winrt/uwp', 'port into 4.x is needed', 'port to 5.x is needed', 'port/backport done', 'pr: Discussion Required', 'pr: needs docs', 'pr: needs rebase', 'pr: needs test', 'pr: reproducer', 'priority: high', 'priority: low', 'priority: normal', 'question (invalid tracker)', 'RFC', 'test', 'vote']","['.editorconfig', '.gitattributes', '.github', '.gitignore', '3rdparty', 'CMakeLists.txt', 'CONTRIBUTING.md', 'COPYRIGHT', 'LICENSE', 'README.md', 'SECURITY.md', 'apps', 'cmake', 'data', 'doc', 'include', 'modules', 'platforms', 'samples']"
opencv/opencv_zoo,176,176,61,"['opencv', 'deep-learning', 'model-zoo', 'benchmark']",15,63,"['add hardware', 'add model', 'benchmark', 'evaluation', 'GSoC', 'platform: Windows', 'update model', 'wontadd']","['.gitattributes', '.gitignore', 'LICENSE', 'README.md', 'benchmark', 'models', 'tools']"
opencv/opencv-python,3135,3135,617,"['opencv', 'python', 'wheel', 'python-3', 'opencv-python', 'opencv-contrib-python', 'precompiled', 'pypi', 'manylinux']",57,868,['incomplete'],"['.github', '.gitignore', '.gitmodules', 'CONTRIBUTING.md', 'LICENSE-3RD-PARTY.txt', 'LICENSE.txt', 'MANIFEST.in', 'README.md', 'cv2', 'docker', 'find_version.py', 'multibuild', 'opencv', 'opencv_contrib', 'opencv_extra', 'patch_auditwheel_whitelist.py', 'patches', 'pyproject.toml', 'scripts', 'setup.py', 'tests', 'travis_config.sh', 'travis_multibuild_customize.sh', 'travis_osx_brew_cache.sh']"
SciSharp/SharpCV,235,235,40,[],18,53,[],"['.gitignore', 'LICENSE', 'README.md', 'SharpCV.sln', 'data', 'docs', 'src', 'test']"
SciSharp/TensorFlow.NET,2570,2570,422,"['tensorflow', 'machine-learning', 'scisharp', 'deep-learning', 'dotnetcore', 'chatbot', 'csharp']",148,1975,"['discussion', 'missing feature/s']","['.gitattributes', '.github', '.gitignore', 'CODEOWNERS', 'Directory.Build.props', 'Directory.Build.targets', 'LICENSE', 'README.md', 'TensorFlow.NET.sln', 'TensorFlow.NET.sln.DotSettings', 'data', 'docs', 'graph', 'redist', 'scripts', 'src', 'tensorflowlib', 'test']"
SciSharp/Numpy.NET,493,493,81,[],10,159,['dependencies'],"['.gitignore', 'LICENSE', 'Numpy.NET.sln', 'README.md', 'doc', 'src', 'test']"
SciSharp/Tensor.NET,44,44,2,"['csharp', 'high-performance', 'lightweight-framework', 'netcore', 'numpy', 'tensor']",2,187,['framework'],"['.clang-format', '.gitignore', '.gitmodules', 'CMakeLists.txt', 'LICENSE', 'Readme.md', 'apis', 'core', 'csharp', 'doc', 'third_party', 'tools']"
SciSharp/Keras.NET,517,517,118,"['keras', 'keras-neural-networks', 'csharp-library', 'neural-network', 'deep-learning', 'deep-learning-library', 'fsharp-library']",48,157,['no-issue-activity'],"['.github', '.gitignore', 'Examples', 'Images', 'Keras.NET.sln', 'Keras.UnitTest', 'Keras', 'LICENSE', 'README.md', 'ReleaseBot', 'codemeta.json', 'doc-gen', 'docs']"
keras-team/keras,56767,56767,19221,"['deep-learning', 'tensorflow', 'neural-networks', 'machine-learning', 'data-science', 'python']",348,7547,"['Announcement', 'API design review', 'cla: no', 'cla: yes', 'Contributions welcome', 'Duplicate', 'Good first issue', 'keras-team-review-pending', 'kokoro:force-run', 'ready to pull', 'Reviewers wanted', 'saved_model', 'size:L', 'size:M', 'size:S', 'size:XL', 'size:XS', 'stalled', 'stat:awaiting keras-team', 'stat:awaiting response from contributor', 'stat:contributions welcome', 'To investigate', 'type:Bug', 'type:bug/performance', 'type:docs', 'type:feature', 'type:performance', 'type:support', 'User error']","['.bazelrc', '.devcontainer', '.github', '.gitignore', '.vscode', 'BUILD', 'CONTRIBUTING.md', 'ISSUE_TEMPLATE.md', 'LICENSE', 'README.md', 'WORKSPACE', 'keras', 'requirements.txt', 'setup.cfg', 'shell', 'third_party']"
keras-team/autokeras,8669,8669,1383,"['automl', 'neural-architecture-search', 'automated-machine-learning', 'python', 'deep-learning', 'machine-learning', 'autodl', 'tensorflow', 'keras']",109,1351,"['algorithm', 'bug report', 'contribution welcome', 'dependencies', 'feature request', 'performance', 'pinned']","['.devcontainer', '.dockerignore', '.github', '.gitignore', '.vscode', 'LICENSE', 'README.md', 'RELEASE.md', 'autokeras', 'benchmark', 'codecov.yml', 'docker', 'docs', 'examples', 'setup.cfg', 'setup.py', 'shell']"
keras-team/keras-cv,495,495,137,[],208,589,"['augmentation', 'contribution-welcome', 'GSoC 2022', 'high-priority', 'keras-team-review-pending', 'layers', 'losses', 'low-priority', 'metric', 'models', 'needs-impact-verification', 'object-detection-landing', 'objective', 'operational', 'preprocessing', 'process', 'review-needed', 'roadmap', 'size/l', 'size/m', 'size/s', 'size/xl', 'size/xs', 'stat: awaiting external input', 'stat:awaiting keras-team', 'type:feature', 'utilities', 'v0.4.0 release', 'visualization', 'wip']","['.devcontainer', '.github', '.gitignore', 'BUILD.bazel', 'LICENSE', 'MANIFEST.in', 'README.md', 'WORKSPACE', 'benchmarks', 'build_deps', 'cloudbuild', 'examples', 'keras_cv', 'setup.cfg', 'setup.py', 'shell']"
pytorch/pytorch,60716,60716,16911,"['neural-network', 'autograd', 'gpu', 'numpy', 'deep-learning', 'tensor', 'python', 'machine-learning']",10652,54453,"['accept2ship', 'actionable', 'awaiting response (this tag is deprecated)', 'base pinned', 'better-engineering', 'caffe2', 'caffe2-op', 'cherry-picked', 'ci: sev', 'ciflow/android', 'ciflow/binaries', 'ciflow/binaries_conda', 'ciflow/binaries_libtorch', 'ciflow/binaries_wheel', 'ciflow/inductor', 'ciflow/mps', 'ciflow/nightly', 'ciflow/periodic', 'ciflow/trunk', 'cla signed', 'complex_autograd', 'core issue', 'csprng', 'days', 'dependency issue', 'distributed-backlog', 'docs-hackathon', 'Enable Org GHA Runners', ""ezyang's list"", 'fb-exported', 'feature', 'fixathon', 'function request', 'fx', 'FX-TorchScript Compatibility', 'hackamonth', 'hackathon', 'hacktoberfest', 'has workaround', 'high priority', 'imported', 'in progress', 'inference mode', 'intel', 'intel priority', 'internals', 'jit-backlog', 'land-failed', 'large', 'lazy', 'LazyTensor_nvfuser_integration', 'low priority', 'matrix multiplication', 'medium', 'merge-this-please', 'mergebot', 'Merged', 'mlops', 'mobile_perf', 'module: __torch_dispatch__', 'module: __torch_function__', 'module: 64-bit', 'module: abi', 'module: advanced indexing', 'module: amp (automated mixed precision)', 'module: android', 'module: aotdispatch', 'module: arm', 'module: assert failure', 'module: autograd', 'module: backend', 'module: batching', 'module: bazel', 'module: bc-breaking', 'module: benchmark', 'module: bfloat16', 'module: boolean tensor', 'module: bootcamp', 'module: bottleneck', 'module: build', 'module: build warnings', 'module: c10d', 'module: CapabilityBasedPartitioner', 'module: checkpoint', 'module: ci', 'module: codegen', 'module: collect_env.py', 'module: complex', 'module: convolution', 'module: correctness (silent)', 'module: cpp', 'module: cpp-extensions', 'module: cpu', 'module: CPU_tensor_apply', 'module: crash', 'module: cublas', 'module: cuda', 'module: cuda graphs', 'module: CUDACachingAllocator', 'module: cudnn', 'module: custom-operators', 'module: data', 'module: data parallel', 'module: dataloader', 'module: ddp', 'module: deadlock', 'module: decompositions', 'module: dependency bug', 'module: deploy', 'module: deprecation', 'module: derivatives', 'module: determinism', 'module: dispatch', 'module: distance functions', 'module: distributed_tool', 'module: distributions', 'module: dlpack', 'module: doc infra', 'module: docker', 'module: docs', 'module: double backwards', 'module: dtensor', 'module: dynamic shapes', 'module: dynamo', 'module: edge cases', 'module: elastic', 'module: embedding', 'module: error checking', 'module: expecttest', 'module: fakeTensor', 'module: fft', 'module: flaky-tests', 'module: forward ad', 'module: fsdp', 'module: functional UX', 'module: functionalization', 'module: functorch', 'module: fx', 'module: fx.passes', 'module: half', 'module: hub', 'module: inductor', 'module: infra', 'module: initialization', 'module: int overflow', 'module: intel', 'module: internals', 'module: interpolation', 'module: ios', 'module: jetson', 'module: jiterator', 'module: known issue', 'module: language binding', 'module: lazy', 'module: library', 'module: linear algebra', 'module: lint', 'module: logging', 'module: loss', 'module: LrScheduler', 'module: lts', 'module: m1', 'module: macos', 'module: magma', 'module: masked operators', 'module: memory format', 'module: memory usage', 'module: meta tensors', 'module: mkl', 'module: mkldnn', 'module: models', 'module: molly-guard', 'module: mpi', 'module: mps', 'module: mta', 'module: multi-gpu', 'module: multiprocessing', 'module: multithreading', 'module: named tensor', 'module: NaNs and Infs', 'module: nccl', 'module: nestedtensor', 'module: nn', 'module: nn.utils.parametrize', 'module: nnpack', 'module: norms and normalization', 'module: numba', 'module: numerical-reproducibility', 'module: numerical-stability', 'module: numpy', 'module: nvfuser', 'module: onnx', 'module: op-unification', 'module: openblas', 'module: openmp', 'module: optimizer', 'module: padding', 'module: partial aliasing', 'module: performance', 'module: pickle', 'module: pooling', 'module: porting', 'module: POWER', 'module: primTorch', 'module: printing', 'module: protobuf', 'module: ProxyTensor', 'module: pruning', 'module: pybind', 'module: python array api', 'module: python dispatcher', 'module: python frontend', 'module: pytree', 'module: random', 'module: reductions', 'module: regression', 'module: rnn', 'module: rocm', 'module: rpc', 'module: safe resize', 'module: sanitizers', 'module: scatter & gather ops', 'module: scientific computing', 'module: scipy compatibility', 'module: selective build', 'module: serialization', 'module: shape checking', 'module: single threaded', 'module: sleef', 'module: sorting and selection', 'module: sparse', 'module: special', 'module: static linking', 'module: structured kernels', 'module: tbb', 'module: tensor creation', 'module: tensorboard', 'module: tensorflow', 'module: TensorIterator', 'module: tensorpipe', 'module: testing', 'module: tests', 'module: tf32', 'module: third_party', 'module: torchbind', 'module: trigonometric functions', 'module: type promotion', 'module: typing', 'module: undefined reference', 'module: unknown', 'module: ux', 'module: vectorization', 'module: viewing and reshaping', 'module: vision', 'module: vmap', 'module: vulkan', 'module: windows', 'module: wsl', 'module: xla', 'module: xnnpack', 'months', 'msft-collab', 'needs design', 'needs reproduction', 'needs research', 'new-layer', 'newcomer', 'NNC', 'not4land', 'oncall: binaries', 'oncall: distributed', 'oncall: fx', 'oncall: java', 'oncall: jit', 'oncall: mobile', 'oncall: package/deploy', 'oncall: profiler', 'oncall: quantization', 'oncall: r2p', 'oncall: transformer/mha', 'oncall: visualization', 'onnx-needs-import', 'onnx-needs-info', 'onnx-triaged', 'op-bench', 'open source', 'OSS contribution wanted', 'patch release triage', 'pipeline parallelism', 'postmortem', 'production-ecosystem', 'proposal accepted', 'pt_distributed_rampup', 'pt2', 'python', 'pytorchbenchmark-false-positive', 'quansight-approved', 'quansight-nack', 'quantization_release_1.3', 'ready for review (this tag is deprecated)', 'release notes', 'release notes: AO frontend', 'release notes: AO Pruning', 'release notes: autograd', 'release notes: benchmark', 'release notes: build', 'release notes: complex', 'release notes: composability', 'release notes: cpp', 'release notes: cuda', 'release notes: cudnn', 'release notes: dataloader', 'release notes: distributed (c10d)', 'release notes: distributed (composable)', 'release notes: distributed (ddp)', 'release notes: distributed (dtensor)', 'release notes: distributed (fsdp)', 'release notes: distributed (pipeline)', 'release notes: distributed (rpc)', 'release notes: distributed (sharded)', 'release notes: distributed (tools)', 'release notes: dynamo', 'release notes: foreach_frontend', 'release notes: functorch', 'release notes: fx', 'release notes: gnn', 'release notes: hub', 'release notes: intel', 'release notes: jit', 'release notes: lazy', 'release notes: linalg_frontend', 'release notes: memory format', 'release notes: Meta API', 'release notes: mobile', 'release notes: mps', 'release notes: nested tensor', 'release notes: nn', 'release notes: onnx', 'release notes: package/deploy', 'release notes: performance_as_product', 'release notes: profiler', 'release notes: python_frontend', 'release notes: quantization', 'release notes: releng', 'release notes: rocm', 'release notes: sparse', 'release notes: visualization', 'release notes: vulkan', 'releng', 'Reverted', 'rocm', 'rocm priority', 'security', 'shadow review', 'sharded_tensor', 'skip-pr-sanity-checks', 'skipped', 'small', 'Stale', 'tensor subclass', 'test-config/backwards_compat', 'test-config/default', 'test-config/distributed', 'test-config/dynamo', 'test-config/functorch', 'test-config/inductor', 'test-config/multigpu', 'test-config/slow', 'test-config/tsan', 'test-config/xla', 'todo', 'todo-elimination', 'topic: bc_breaking', 'topic: binaries', 'topic: bug fixes', 'topic: build', 'topic: deprecation', 'topic: developer feature', 'topic: documentation', 'topic: improvements', 'topic: new feature', 'topic: not user facing', 'topic: performance', 'topic: security', 'topics', 'tracker', 'triage review', 'triaged', 'TSRootCause:BetterEngineering', 'TSRootCause:DefaultTypes', 'TSRootCause:DynamicBehaviors', 'TSRootCause:InvalidCustomClass', 'TSRootCause:ModuleInheritance', 'TSRootCause:PoorIRVisibility', 'TSRootCause:PyTorchParityGap', 'TSRootCause:TypeAnnotation', 'TSRootCause:TypeChecking', 'TSRootCause:TypeRefinement', 'TSRootCause:Unclassified', 'TSRootCause:UnsupportedConstructs', 'TSUsability', 'weeks', 'windows-triaged', 'with-ssh', 'ZeroTensor']","['.bazelrc', '.bazelversion', '.buckconfig.oss', '.circleci', '.clang-format', '.clang-tidy', '.cmakelintrc', '.coveragerc', '.ctags.d', '.dockerignore', '.flake8', '.gdbinit', '.git-blame-ignore-revs', '.gitattributes', '.github', '.gitignore', '.gitmodules', '.isort.cfg', '.jenkins', '.lintrunner.toml', '.vscode', 'BUCK.oss', 'BUILD.bazel', 'CITATION.cff', 'CMakeLists.txt', 'CODEOWNERS', 'CODE_OF_CONDUCT.md', 'CONTRIBUTING.md', 'Dockerfile', 'GLOSSARY.md', 'LICENSE', 'MANIFEST.in', 'Makefile', 'NOTICE', 'README.md', 'RELEASE.md', 'SECURITY.md', 'WORKSPACE', 'android', 'aten.bzl', 'aten', 'benchmarks', 'binaries', 'buckbuild.bzl', 'build.bzl', 'build_variables.bzl', 'c10', 'c2_defs.bzl', 'c2_test_defs.bzl', 'caffe2', 'cmake', 'defs.bzl', 'docker.Makefile', 'docs', 'functorch', 'ios', 'modules', 'mypy-strict.ini', 'mypy.ini', 'mypy_plugins', 'pt_ops.bzl', 'pt_template_srcs.bzl', 'pyproject.toml', 'pytest.ini', 'requirements-flake8.txt', 'requirements.txt', 'scripts', 'setup.py', 'test', 'third_party', 'tools', 'torch', 'torchgen', 'ufunc_defs.bzl', 'version.txt']"
